case	mode	workers	status	elapsed_ns	gate	complete	blocked	reduced	fail_open	verdict_sha256	summary_sha256
correct/litmus/CoWR/variants/cowr0.c	baseline	1	0	49621000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/CoWR/variants/cowr0.c	baseline	2	0	50184000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/CoWR/variants/cowr0.c	rvf	1	0	50840000	enabled	3	0	2	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/CoWR/variants/cowr0.c	rvf	2	0	50659000	enabled	3	0	2	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/W+JW/variants/W+JW0.c	baseline	1	0	50383000		1	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	fe2b117bf9eba3e539d9eb291cd73e77cbc2784cee6d2a6adee0259b3d551726
correct/litmus/W+JW/variants/W+JW0.c	baseline	2	0	50922000		1	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	fe2b117bf9eba3e539d9eb291cd73e77cbc2784cee6d2a6adee0259b3d551726
correct/litmus/W+JW/variants/W+JW0.c	rvf	1	0	50494000	enabled	1	2	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	df0cf00d366439adfa815059d50f8828919805b19e32967c0477036a2548814e
correct/litmus/W+JW/variants/W+JW0.c	rvf	2	0	49831000	enabled	1	2	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	df0cf00d366439adfa815059d50f8828919805b19e32967c0477036a2548814e
correct/litmus/SB+assert/variants/SB+assert0.c	baseline	1	0	51156000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
correct/litmus/SB+assert/variants/SB+assert0.c	baseline	2	0	50116000		3	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	b39f307f9d8d67130815acb8a7f771d6284d18ca770ec9fcfa022c7d167fe785
