model	method	threads	runs	solved	all_walltime_seconds_n	all_walltime_seconds_mean	all_walltime_seconds_median	all_walltime_seconds_p95	all_walltime_seconds_geomean	all_walltime_seconds_sum	all_walltime_seconds_max	all_cputime_seconds_n	all_cputime_seconds_mean	all_cputime_seconds_median	all_cputime_seconds_p95	all_cputime_seconds_geomean	all_cputime_seconds_sum	all_cputime_seconds_max	all_rss_mib_n	all_rss_mib_mean	all_rss_mib_median	all_rss_mib_p95	all_rss_mib_geomean	all_rss_mib_sum	all_rss_mib_max	solved_walltime_seconds_n	solved_walltime_seconds_mean	solved_walltime_seconds_median	solved_walltime_seconds_p95	solved_walltime_seconds_geomean	solved_walltime_seconds_sum	solved_walltime_seconds_max	solved_cputime_seconds_n	solved_cputime_seconds_mean	solved_cputime_seconds_median	solved_cputime_seconds_p95	solved_cputime_seconds_geomean	solved_cputime_seconds_sum	solved_cputime_seconds_max	solved_rss_mib_n	solved_rss_mib_mean	solved_rss_mib_median	solved_rss_mib_p95	solved_rss_mib_geomean	solved_rss_mib_sum	solved_rss_mib_max
tso	caat	1	480	445	480	6.107252730713784	0.066431638028007	61.5937227139133	0.1878488390344627	2931.481310742616	61.6457015920314	480	6.09702650521875	0.0594309925	61.345137411150006	0.17151570380553333	2926.5727225049973	61.632897261	480	623.4719401041667	24.78125	11155.1765625	37.80773616368056	299266.53125	11155.51953125	445	1.7545329445210454	0.06504167802631855	9.041476426587906	0.11913049940359043	780.7671603118652	49.83424658002332	445	1.7468385602988765	0.0581029	9.034818868999999	0.10800275978602142	777.3431593329999	49.825443797	445	40.85334445224719	24.7734375	25.057031249999998	26.86462825288799	18179.73828125	1149.62109375
tso	caat	2	480	444	480	6.195194009521826	0.07017378247110173	61.53887429171009	0.19851713113487157	2973.6931245704764	61.61888652801281	480	12.207769401091667	0.0650646865	121.3419069496	0.2150478510901454	5859.729312524	121.962310402	480	623.9404052734375	24.818359375	11155.558789062501	37.87295250508368	299491.39453125	11155.94140625	444	1.8543524124174797	0.0691687949874904	9.63603963826026	0.12624513689243008	823.332471113361	53.796601106994785	444	3.619076662551802	0.06390172250000001	19.1629572307	0.13060696713535863	1606.8700381729998	107.517991658	444	40.947028082770274	24.80859375	25.1283203125	26.892438580548404	18180.48046875	1151.61328125
tso	caat	4	480	432	480	4.937747722810794	0.07209802497527562	61.5822651164839	0.18992720175350433	2370.118906949181	61.797365789010655	480	12.391923118033333	0.0683546425	121.44045275175	0.2201917628639028	5948.1230966560015	243.354803462	480	632.0368896484375	24.8515625	11155.82421875	38.53609072228132	303377.70703125	11156.2890625	432	1.2002690500165853	0.0711346825119108	6.6731162653624665	0.12668327668085108	518.5162296071649	34.447443837998435	432	3.9171131774189814	0.067591231	26.406200311399957	0.1444866007564461	1692.1928926449993	137.453720204	432	41.5419921875	24.84375	26.776171875	27.088854862645977	17946.140625	1152.0234375
tso	caat	8	480	424	480	4.751006985577503	0.07694894698215649	61.566169814774184	0.19536993653644283	2280.483353077201	61.83795812499011	480	16.103362167822915	0.0748121595	121.43589170150001	0.24205295897044637	7729.613840555003	485.546519263	480	647.7356119791667	24.875	11156.496679687501	39.594901822621	310913.09375	11156.921875	424	1.0064303671441728	0.07595418402343057	5.034315738407894	0.12980259552311343	426.7264756691293	25.989117344026454	424	5.338672377639151	0.0739487435	39.4841646496	0.1607301124636496	2263.5970881190024	206.919395654	424	42.67172759433962	24.845703125	42.09570312499998	27.79367589795595	18092.8125	1152.94921875
tso	cat	1	480	410	480	10.092844566320128	0.06884393800282851	61.2705979971186	0.2489787926438218	4844.565391833661	61.30917490500724	480	10.0806771366375	0.062060295	61.05856457005	0.22731889811802095	4838.725025585999	61.301578758	480	280.3995035807292	24.765625	4643.3205078125	35.530087760438484	134591.76171875	4643.51171875	410	1.3815951007450988	0.06707107849069871	2.2721806300047316	0.09730052163783531	566.4539913054905	45.05283340200549	410	1.3736895238195121	0.0604774125	2.26193765835	0.08747520698593649	563.2127047660003	44.864646717	410	30.43919588414634	24.7578125	25.015625	25.931048767056456	12480.0703125	458.30078125
tso	cat	2	480	402	480	10.376171293968703	0.06798216098104604	61.28590180409956	0.2439791084325047	4980.562221104978	61.35127761197509	480	20.5840462683875	0.06429231799999999	121.94269293135	0.2732537227862085	9880.342208826007	122.054403898	480	287.421435546875	24.7890625	4643.71484375	35.850397634172154	137962.2890625	4643.8984375	402	0.9852421447842913	0.0660821695055347	0.44175916946551186	0.08727337174591923	396.0673422032851	44.8306914169807	402	1.8862901429253733	0.06293602949999999	0.8127329496499978	0.08827687693367921	758.2886374560006	89.585641292	402	31.39152868470149	24.7734375	25.07421875	26.018855759040587	12619.39453125	524.22265625
tso	cat	4	480	406	480	9.236047264957717	0.07213326951023191	61.34189989446022	0.2501700858809975	4433.302687179705	61.429655127984006	480	28.342307259358332	0.06977820600000001	243.54074167615	0.30618341258185244	13604.307484492005	243.795337883	480	295.52625325520836	24.83203125	4644.009179687499	36.41452781966027	141852.6015625	4644.2265625	406	1.8706190262188827	0.07084543202654459	16.725628366009914	0.11158912927337279	759.4713246448664	48.00320150703192	406	6.648566771184729	0.068635324	49.2336883065	0.12359220067914142	2699.318109100999	191.163982189	406	31.401679879926107	24.82421875	25.12890625	26.071792866949973	12749.08203125	524.67578125
tso	cat	8	480	411	480	8.076703237138645	0.07889731699833646	61.29262290208717	0.2565445607749362	3876.8175538265496	61.41994035203243	480	38.44143076818542	0.07806595599999999	316.8871171058498	0.3450268785116032	18451.886768729008	487.263259299	480	297.85646158854166	24.875	4644.629296874999	37.332444027135374	142971.1015625	4644.8828125	411	1.9759216840916263	0.07752804097253829	20.708333116519498	0.1328217250440721	812.1038121616584	40.66072600201005	411	13.20553904104623	0.076414613	90.8305854235	0.16345436726151547	5427.476545869999	323.967990325	411	31.570103406326034	24.8359375	27.33203125	26.26143700166897	12975.3125	525.5234375
tso	genmc	1	480	480	480	0.6190883905246058	0.06630122699425556	3.0057611437630833	0.12133691298677603	297.1624274518108	8.985605334979482	480	0.6114345240833334	0.0599551375	2.9894881540999996	0.11038648557423315	293.48857156	8.947838302	480	37.57703450520833	24.560546875	74.1302734375	27.279273029970497	18036.9765625	994.41015625	480	0.6190883905246058	0.06630122699425556	3.0057611437630833	0.12133691298677603	297.1624274518108	8.985605334979482	480	0.6114345240833334	0.0599551375	2.9894881540999996	0.11038648557423315	293.48857156	8.947838302	480	37.57703450520833	24.560546875	74.1302734375	27.279273029970497	18036.9765625	994.41015625
tso	genmc	2	480	471	480	0.8815843084739754	0.06759971848805435	3.7514820985845283	0.13163792666823115	423.1604680675082	17.467430285003502	480	1.6085745087708334	0.062755582	7.405656936699998	0.1373980722319844	772.1157642100003	34.8736839	480	52.550113932291666	24.5859375	126.609375	28.383044062818314	25224.0546875	2134.56640625	471	0.7792165074681601	0.06733641598839313	3.676210544508649	0.126092024453142	367.01097501750337	17.467430285003502	471	1.407727730435244	0.062646123	7.0147724700000005	0.13182586956104425	663.0397610350005	34.8736839	471	35.16882298301486	24.5859375	126.537109375	27.40076284820852	16564.515625	2134.31640625
tso	genmc	4	480	462	480	0.528238366367926	0.07040712601155974	3.3760774075548396	0.12406213477816914	253.55441585660446	16.410106665978674	480	1.3595926641083333	0.066893356	6.517101923599998	0.1385219512933274	652.6044787720003	51.159774905	480	60.909114583333334	24.61328125	227.5667968749998	28.97268521565847	29236.375	3923.57421875	462	0.5417177938542216	0.06992469399119727	3.3792375514836746	0.1222309810423229	250.27362076065037	16.410106665978674	462	1.409123962887446	0.066588636	6.584565538399999	0.14112262137118411	651.0152708540003	51.159774905	462	62.310935808982684	24.61328125	231.58164062499995	29.143311176842957	28787.65234375	3923.57421875
tso	genmc	8	480	454	480	0.3780875831226391	0.07560200602165423	3.162785316049121	0.1249089407597555	181.4820398988668	4.139773236995097	480	1.1980081223333334	0.074102314	6.443581318549999	0.14959996751570628	575.0438987200001	32.001973901	480	38.04872233072917	24.62109375	226.0429687499999	28.43247806665229	18263.38671875	312.25	454	0.3889690635061468	0.07511603349121287	3.1792993163864587	0.12203810905071512	176.59195483179064	4.139773236995097	454	1.2604829108215858	0.0736162865	6.46873313965	0.15336766260616014	572.2592415130001	32.001973901	454	38.80719128579295	24.6171875	228.3296875	28.655714110774067	17618.46484375	312.25
