   BENCHMARK INFORMATION
benchmark definition:    /workspace/experiments/fair-coverage/definitions-60s/fair-census-shard1.xml
name:                    fair-census-shard1
run sets:                genmc-fair-sc.unreach-call
date:                    Wed, 2026-07-15 17:20:42 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /workspace/svcomp2026-caat/build/genmc-caat-llvm15noble/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=1 --v1
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    af7684c2b581
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



genmc-fair-sc.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --nthreads=1 --v1 --svcomp-backend=genmc-sc' and propertyfile 'None'

inputfile                                                                                                                                                                          status                       cpu time   wall time        host
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                                                                                                           true                             0.07        0.08        None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_neg.yml                                                                                                             true                             0.07        0.07        None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                                                                                                 true                             0.07        0.08        None
goblint-regression/13-privatized_46-refine-protected1_true.yml                                                                                                                     true                             0.07        0.08        None
goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml                                                                                                                  false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_40-traces-ex-6_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_44-traces-mine2_true.yml                                                                                                                          true                             0.07        0.07        None
goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml                                                                                                                  false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_18-first-reads_unknown_2_neg.yml                                                                                                                  true                             0.07        0.08        None
goblint-regression/13-privatized_36-traces-ex-3_true.yml                                                                                                                           true                             0.07        0.07        None
goblint-regression/13-privatized_35-traces-ex-2_true.yml                                                                                                                           true                             0.08        0.08        None
goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml                                                                                                                    true                             0.07        0.08        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml                                                                                                            false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml                                                                                                            false(unreach-call)              0.07        0.08        None
goblint-regression/13-privatized_01-priv_nr_true.yml                                                                                                                               true                             0.07        0.08        None
goblint-regression/13-privatized_42-traces-ex-mini_true.yml                                                                                                                        true                             0.07        0.08        None
goblint-regression/13-privatized_25-struct_nr_true.yml                                                                                                                             true                             0.07        0.08        None
goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_pos.yml                                                                                                                 true                             0.07        0.08        None
goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml                                                                                                                  true                             0.06        0.07        None
goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml                                                                                                                  true                             0.07        0.08        None
goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml                                                                                                        true                             0.07        0.08        None
goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml                                                                                                            true                             0.07        0.08        None
weaver/test-semi1.wvr.yml                                                                                                                                                          true                             0.06        0.07        None
weaver/test-easy11.wvr.yml                                                                                                                                                         TIMEOUT                         60.97       61.01        None
weaver/test-easy7.wvr.yml                                                                                                                                                          true                             0.06        0.07        None
weaver/test-easy1.wvr.yml                                                                                                                                                          true                             0.07        0.07        None
weaver/popl20-figure1-alt.wvr.yml                                                                                                                                                  true                             0.07        0.07        None
weaver/popl20-figure3.wvr.yml                                                                                                                                                      TIMEOUT                         60.96       61.03        None
weaver/test-easy8.wvr.yml                                                                                                                                                          true                             0.07        0.07        None
weaver/parallel-misc-2-unrolled.wvr.yml                                                                                                                                            true                             0.07        0.07        None
weaver/parallel-simple-equiv.wvr.yml                                                                                                                                               true                             0.07        0.07        None
weaver/parallel-ticket-2.wvr.yml                                                                                                                                                   true                             0.07        0.07        None
weaver/mult-dist.wvr.yml                                                                                                                                                           OUT OF MEMORY                   10.99       11.01        None
weaver/clever.wvr.yml                                                                                                                                                              true                             0.07        0.08        None
weaver/popl20-more-nonblocking-counter-alt2.wvr.yml                                                                                                                                TIMEOUT                         60.97       61.02        None
weaver/popl20-counter-determinism.wvr.yml                                                                                                                                          true                             0.07        0.08        None
weaver/parallel-misc-2.wvr.yml                                                                                                                                                     true                             0.07        0.08        None
weaver/parallel-misc-2-unrolled-atomic.wvr.yml                                                                                                                                     true                             0.07        0.08        None
weaver/chl-sre-trans.wvr.yml                                                                                                                                                       true                             0.07        0.08        None
weaver/spaghetti.wvr.yml                                                                                                                                                           TIMEOUT                         60.96       61.02        None
weaver/chl-sre-subst.wvr.yml                                                                                                                                                       true                             0.07        0.08        None
weaver/chl-simpl-str-symm.wvr.yml                                                                                                                                                  true                             0.07        0.08        None
weaver/popl20-bad-threaded-sum-2.wvr.yml                                                                                                                                           TIMEOUT                         60.82       61.02        None
weaver/test-easy10.wvr.yml                                                                                                                                                         true                             0.07        0.08        None
weaver/parallel-bakery-2.wvr.yml                                                                                                                                                   true                             0.07        0.08        None
weaver/popl20-mult-equiv.wvr.yml                                                                                                                                                   TIMEOUT                         60.97       61.03        None
weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.yml                                                                                                                                true                             0.07        0.08        None
weaver/chl-time-symm.wvr.yml                                                                                                                                                       true                             0.07        0.08        None
weaver/bench-exp3x3.wvr.yml                                                                                                                                                        true                             0.07        0.08        None
weaver/popl20-channel-sum.wvr.yml                                                                                                                                                  true                             0.07        0.08        None
weaver/popl20-bad-counter-queue.wvr.yml                                                                                                                                            true                             0.07        0.08        None
weaver/test-context1.wvr.yml                                                                                                                                                       true                             0.06        0.07        None
weaver/chl-match-symm.wvr.yml                                                                                                                                                      true                             0.07        0.08        None
weaver/popl20-more-sorted.wvr.yml                                                                                                                                                  true                             0.07        0.08        None
