variant	model	repetition	task_yaml	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	starttime	executions	xml
after	pso	r01	c/goblint-regression/13-privatized_01-priv_nr_true.yml	true	true	correct	0.072367966	0.08252473996253684	25968640	2026-07-15T13:20:23.569705+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	true	correct	0.070065011	0.08058587601408362	25976832	2026-07-15T13:20:23.427368+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false	false(unreach-call)	correct	0.07036769	0.07696083403425291	26042368	2026-07-15T13:20:23.409881+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false	false(unreach-call)	correct	0.065383801	0.07562533998861909	25960448	2026-07-15T13:20:23.395934+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_true.yml	true	true	correct	0.068340859	0.08270307304337621	26021888	2026-07-15T13:20:23.589484+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	false	false(unreach-call)	correct	0.063037913	0.07271148904692382	26058752	2026-07-15T13:20:23.519696+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	false	false(unreach-call)	correct	0.058277292	0.06281463598133996	26083328	2026-07-15T13:20:23.484612+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	false	false(unreach-call)	correct	0.063329835	0.07572144595906138	25972736	2026-07-15T13:20:23.525636+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	false	false(unreach-call)	correct	0.061901005	0.06566739396657795	25964544	2026-07-15T13:20:23.496224+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_20-publish-regression_true.yml	true	true	correct	0.060666154	0.06595876900246367	26021888	2026-07-15T13:20:23.665246+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	true	correct	0.121890035	0.13483606302179396	26107904	2026-07-15T13:20:23.740449+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_25-struct_nr_true.yml	true	true	correct	0.060370488	0.07181134400889277	26079232	2026-07-15T13:20:23.619424+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	true	correct	0.309922932	0.31526507198577747	26087424	2026-07-15T13:20:23.778148+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	true	true	correct	0.068105781	0.07350061304168776	26128384	2026-07-15T13:20:23.729281+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	true	true	correct	0.068678441	0.07512444502208382	26005504	2026-07-15T13:20:23.661025+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	true	true	correct	0.075128215	0.08669452898902819	26083328	2026-07-15T13:20:23.653347+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	true	correct	0.068312902	0.0762089989730157	25993216	2026-07-15T13:20:23.672289+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	true	true	correct	0.071409284	0.07487221900373697	26050560	2026-07-15T13:20:23.614777+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	true	correct	0.062596532	0.07249042100738734	26062848	2026-07-15T13:20:23.703294+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_35-traces-ex-2_true.yml	true	true	correct	0.060300832	0.0702395630069077	25960448	2026-07-15T13:20:23.440188+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	true	correct	0.071923155	0.07369801198365167	25927680	2026-07-15T13:20:23.419125+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	true	true	correct	0.058398825	0.06930140202166513	26079232	2026-07-15T13:20:23.446039+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	true	true	correct	0.0606902	0.07454308797605336	25993216	2026-07-15T13:20:23.462951+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	0.069382513	0.07804290001513436	25997312	2026-07-15T13:20:23.353247+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	false(unreach-call)	correct	0.071798013	0.07541183102875948	25952256	2026-07-15T13:20:23.340481+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	correct	0.066210639	0.07280857302248478	26054656	2026-07-15T13:20:23.327119+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	0.060866206	0.06546266796067357	26046464	2026-07-15T13:20:23.598289+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	0.059959158	0.06769661698490381	25960448	2026-07-15T13:20:23.381816+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	0.067971073	0.08262313297018409	26054656	2026-07-15T13:20:23.570125+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	0.059022738	0.06791686802171171	26025984	2026-07-15T13:20:23.305573+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	correct	0.076140393	0.07948609901359305	25915392	2026-07-15T13:20:23.297600+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	0.058177201	0.061500167998019606	26042368	2026-07-15T13:20:23.290442+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	correct	0.056776975	0.06195707496954128	26025984	2026-07-15T13:20:23.370379+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	correct	0.066204014	0.07222504302626476	25956352	2026-07-15T13:20:23.267506+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	correct	0.065169031	0.06726363103371114	26095616	2026-07-15T13:20:23.715728+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	true	correct	0.058994195	0.0752121300320141	26099712	2026-07-15T13:20:23.642404+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	false	OUT OF MEMORY	error	33.902238488	33.92154676094651	3999997952	2026-07-15T13:20:24.008212+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false	OUT OF MEMORY	error	30.766947393	30.862608120020013	3999997952	2026-07-15T13:20:24.325026+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	false	OUT OF MEMORY	error	29.371636969	29.400057220016606	3999997952	2026-07-15T13:20:24.016741+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false	false(unreach-call)	correct	3.025629163	3.040179267991334	57495552	2026-07-15T13:20:23.947972+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	OUT OF MEMORY	error	33.885473153	34.75838945101714	3999997952	2026-07-15T13:20:24.112990+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	false	OUT OF MEMORY	error	29.80709618	29.848407234996557	3999997952	2026-07-15T13:20:23.964345+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	false	false(unreach-call)	correct	0.060638818	0.06924023601459339	26087424	2026-07-15T13:20:23.960361+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	true	true	correct	0.062186124	0.07122933299979195	26062848	2026-07-15T13:20:23.984603+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	correct	0.060230787	0.06973661802476272	25960448	2026-07-15T13:20:23.322117+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	correct	0.069568707	0.07531626900890842	25944064	2026-07-15T13:20:23.280328+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false	false(unreach-call)	correct	0.063116408	0.08209489204455167	26071040	2026-07-15T13:20:23.635729+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	true	correct	0.071281393	0.07470458402531222	26144768	2026-07-15T13:20:23.751404+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	true	correct	0.060850278	0.06754676601849496	26038272	2026-07-15T13:20:23.772420+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	correct	0.07586891	0.07894276501610875	25993216	2026-07-15T13:20:23.273691+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/ldv-races/race-1_1-join.yml	true	true	correct	0.068133263	0.10798662598244846	26275840	2026-07-15T13:20:24.801002+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/ldv-races/race-1_2-join.yml	false	false(unreach-call)	correct	0.069940745	0.10339816199848428	26243072	2026-07-15T13:20:24.981445+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/ldv-races/race-1_3-join.yml	false	false(unreach-call)	correct	0.07311031	0.14414334698813036	26292224	2026-07-15T13:20:24.869637+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/ldv-races/race-2_1-container_of.yml	true	true	correct	0.072715664	0.14338768302695826	26300416	2026-07-15T13:20:25.085808+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/ldv-races/race-3_1-container_of-global.yml	true	true	correct	0.069118367	0.10537732299417257	26357760	2026-07-15T13:20:25.178607+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/ldv-races/race-4_1-thread_local_vars.yml	true	true	correct	0.074139966	0.17802072601625696	26349568	2026-07-15T13:20:24.994766+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-C-DAC/pthread-demo-datarace-3.yml	false	false(unreach-call)	correct	0.149118148	0.22308214398799464	26079232	2026-07-15T13:20:24.478105+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-atomic/dekker-unfair.yml	true	true	correct	0.064142596	0.08220589498523623	26054656	2026-07-15T13:20:24.192365+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-atomic/dekker.yml	true	true	correct	0.068947031	0.07844597403891385	26091520	2026-07-15T13:20:24.175354+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-atomic/szymanski.yml	true	true	correct	0.087342678	0.09964283101726323	26095616	2026-07-15T13:20:24.156485+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-atomic/time_var_mutex.yml	true	true	correct	0.066497493	0.0754540049820207	26152960	2026-07-15T13:20:23.897640+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-deagle/circular_buffer_bad.yml	false	false(unreach-call)	correct	0.125234856	0.1339794080122374	26091520	2026-07-15T13:20:24.019727+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-deagle/circular_buffer_ok.yml	true	TIMEOUT	error	60.302297712	61.012296475004405	26234880	2026-07-15T13:20:24.137943+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/01b_inc.yml	true	true	correct	0.058617715	0.06738448201213032	26046464	2026-07-15T13:20:23.902792+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/02_inc_cas.yml	true	true	correct	0.060892522	0.06558974599465728	25985024	2026-07-15T13:20:23.937038+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/14_spin2003.yml	true	true	correct	0.059820146	0.06436310103163123	25960448	2026-07-15T13:20:23.790998+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/29_conditionals_vs.yml	true	true	correct	0.057542972	0.06445071002235636	25956352	2026-07-15T13:20:23.797220+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	true	true	correct	0.061932257	0.07691719604190439	25952256	2026-07-15T13:20:24.274445+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/45_monabsex1_vs.yml	true	true	correct	0.059878435	0.06956068199360743	26038272	2026-07-15T13:20:23.853274+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/46_monabsex2_vs.yml	true	true	correct	0.059401785	0.0688560190028511	25952256	2026-07-15T13:20:23.836600+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	true	correct	0.063620836	0.07385087397415191	25985024	2026-07-15T13:20:23.831950+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	true	true	correct	0.060265362	0.07024938199901953	26030080	2026-07-15T13:20:23.952895+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-theta/exponential-nondet.yml	true	true	correct	0.059163577	0.07495329197263345	26091520	2026-07-15T13:20:24.210391+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-theta/unwind2-1.yml	false	false(unreach-call)	correct	0.061910581	0.07096113095758483	26099712	2026-07-15T13:20:24.214738+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-theta/unwind2-100.yml	false	false(unreach-call)	correct	0.059098989	0.06764483702136204	26181632	2026-07-15T13:20:24.219315+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread-theta/unwind3-1.yml	false	false(unreach-call)	correct	0.061664374	0.08406535402173176	26132480	2026-07-15T13:20:24.183642+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread/butterfly.yml	true	TIMEOUT	error	60.989774261	61.04448597301962	26251264	2026-07-15T13:20:24.230879+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread/fib_safe-5.yml	true	TIMEOUT	error	60.993589545	61.01269478397444	26075136	2026-07-15T13:20:24.066752+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread/fib_safe-6.yml	true	TIMEOUT	error	60.978978014	61.00569221802289	26050560	2026-07-15T13:20:24.071573+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread/fib_unsafe-5.yml	false	TIMEOUT	error	60.988720987	61.00968084600754	26066944	2026-07-15T13:20:24.081870+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread/fib_unsafe-6.yml	false	TIMEOUT	error	60.16594539	61.00788941804785	26062848	2026-07-15T13:20:24.088052+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
after	pso	r01	c/pthread/fib_unsafe-7.yml	false	TIMEOUT	error	61.00015403	61.01323746499838	26075136	2026-07-15T13:20:24.084984+00:00		optimization-analysis/continuous/offline-ring-worklist/server/formal-fresh/after/pso/r01/perf-caat-pso.2026-07-15_13-20-23.results.caat-pso.perf.unreach-call.xml.bz2
