case	mode	workers	status	elapsed_ns	gate	complete	blocked	reduced	fail_open	verdict_sha256	summary_sha256
correct/litmus/2+2W+2sc+scf/variants/2+2w+2sc+scf0.c	baseline	1	0	58312000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+2sc+scf/variants/2+2w+2sc+scf0.c	baseline	2	0	50943000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+2sc+scf/variants/2+2w+2sc+scf0.c	rvf	1	0	49876000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+2sc+scf/variants/2+2w+2sc+scf0.c	rvf	2	0	50321000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel1/variants/2+2w+3sc+rel10.c	baseline	1	0	49841000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel1/variants/2+2w+3sc+rel10.c	baseline	2	0	49647000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel1/variants/2+2w+3sc+rel10.c	rvf	1	0	50249000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel1/variants/2+2w+3sc+rel10.c	rvf	2	0	49885000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel2/variants/2+2w+3sc+rel20.c	baseline	1	0	50087000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel2/variants/2+2w+3sc+rel20.c	baseline	2	0	49888000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel2/variants/2+2w+3sc+rel20.c	rvf	1	0	49917000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+3sc+rel2/variants/2+2w+3sc+rel20.c	rvf	2	0	49779000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+scfs/variants/2+2w+scfs0.c	baseline	1	0	50262000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+scfs/variants/2+2w+scfs0.c	baseline	2	0	49890000		3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+scfs/variants/2+2w+scfs0.c	rvf	1	0	50670000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
correct/litmus/2+2W+scfs/variants/2+2w+scfs0.c	rvf	2	0	50851000	enabled	3	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	4f5ea28c5998b965708b11c67ac1403a744536884e4fc8fabf3dc6f5487c95d4
